Measured Depth m,Weight on Bit kkgf,Average Rotary Speed rpm,Mud Flow In L/min,UCS,Rate of Penetration m/h
3008.8,4.4,217.6,2121.4,75.00853507,19.2
3008.9,4.4,217.45,2121.4,75.36066663,19.2
3009,4.4,217.45,2121.4,76.76525887,19.2
3009,5.3,217.45,2121.4,78.06479884,20.2
3009.1,5.3,217.45,2121.4,79.26878308,20.2
3009.2,5,217.45,2121.4,80.20969286,21.9
3009.3,5,217.45,2121.4,80.4146985,21.9
3009.3,4.5,217.33,2121.4,79.69245466,21.9
3009.4,4.5,217.33,2121.4,77.69173991,21.9
3009.4,4.2,217.33,2121.4,75.50034698,21.2
3009.5,4.2,217.33,2121.4,73.97754218,21.2
3009.6,5.2,217.33,2121.4,73.36722501,21.6
3009.7,5.2,217.62,2121.4,73.24490169,21.6
3009.8,5.8,217.62,2121.4,73.62551715,21.3
3009.9,5.8,217.62,2121.4,74.1280001,21.3
3009.9,5.3,217.62,2121.4,74.32312516,18.9
3010,5.3,217.62,2121.4,73.71374702,18.9
3010.1,5,217.62,2121.4,72.92177966,19.5
3010.2,5,217.62,2121.4,71.97944532,19.5
3010.2,4.7,217.62,2121.4,70.67335289,21.5
3010.3,4.7,217.62,2121.4,70.09808696,21.5
3010.4,5.2,217.62,2121.4,69.74095364,20.8
3010.5,5.2,217.33,2121.4,69.57588763,20.8
3010.6,5.7,217.33,2121.4,69.68181486,19.8
3010.7,5.3,217.33,2121.4,69.8486593,18.7
3010.8,5.3,217.33,2121.4,69.51906658,18.7
3010.8,4.9,217.33,2121.4,69.19831013,19.8
3010.9,4.9,217.33,2121.4,69.04466036,19.8
3011,4.5,217.33,2121.4,68.84403663,21.5
3011.1,4.5,217.33,2121.4,68.99049957,21.5
3011.1,5.3,217.46,2121.4,69.45096295,20.6
3011.2,5.3,217.46,2121.4,69.74507399,20.6
3011.3,5.3,217.46,2121.4,70.18139764,20.6
3011.3,4.3,217.46,2121.4,70.59506193,20.6
3011.4,4.3,217.46,2121.4,71.09468432,20.6
3011.4,4.9,217.77,2121.4,71.50915687,22.4
3011.5,4.9,217.77,2121.4,71.45636347,22.4
3011.6,4.5,217.77,2121.4,71.76318644,22.9
3011.7,4.5,217.12,2121.4,71.68978186,22.9
3011.7,3.7,217.12,2121.4,71.43399774,23.1
3011.8,3.7,217.12,2121.4,70.80636868,23.1
3011.9,3.7,217.12,2121.4,70.19402056,23.1
3011.9,4.1,217.12,2121.4,69.62373148,24.6
3012,4.1,217.12,2121.4,69.26737091,24.6
3012,4.5,217.12,2121.4,68.9778985,24.5
3012.1,4.5,217.64,2121.4,68.77021826,24.5
3012.3,5.3,217.64,2121.4,68.66642306,23.6
3012.3,4.5,217.64,2121.4,68.77881108,22.7
3012.4,4.5,217.64,2121.4,68.94845259,22.7
3012.5,4.5,217.64,2121.4,69.18631724,21.8
3012.6,4.5,217.64,2121.4,69.33983915,21.8
3012.7,5.3,217.43,2121.4,69.45504376,20.1
3012.8,5.3,217.43,2121.4,69.48584562,20.1
3012.8,5,217.43,2121.4,69.595407,19.3
3012.9,5,217.43,2121.4,69.477699,19.3
3013,4.3,217.43,2121.4,69.44641018,19.8
3013.1,4.3,217.43,2121.4,69.49241987,19.8
3013.1,4.2,217.43,2121.4,69.84528296,20.1
3013.2,4.2,217.4,2121.4,70.41142249,20.1
3013.3,4.3,217.4,2121.4,71.16202974,20.8
3013.4,4.3,217.4,2121.4,72.07134036,20.8
3013.4,4.8,217.4,2121.4,72.60854332,21.7
3013.5,4.8,217.4,2121.4,73.27392501,21.7
3013.6,4.8,217.86,2121.4,73.92670347,21.7
3013.6,5.2,217.86,2121.4,74.73830655,21.2
3013.7,5.2,217.86,2121.4,75.73806321,21.2
3013.7,4.8,217.86,2121.4,76.95063966,20.6
3013.8,4.8,217.86,2121.4,77.79356685,20.6
3013.9,4.8,217.86,2121.4,78.64457951,20.6
3013.9,4.9,217.86,2121.4,79.07024477,21.1
3014,4.9,217.61,2121.4,79.08127531,21.1
3014.1,4.6,217.61,2121.4,78.89906772,21.2
3014.2,4.7,217.61,2121.4,78.78037505,20.7
3014.3,4.7,217.61,2121.4,78.70107628,20.7
3014.3,4.6,217.61,2121.4,78.6886375,20.6
3014.4,4.6,217.61,2121.4,78.63311919,20.6
3014.5,4.1,217.61,2121.4,78.52845991,21.1
3014.6,4.1,217.61,2121.4,78.22007527,21.1
3014.6,4.3,217.61,2121.4,77.96068721,21.1
3014.7,4.3,217.16,2121.4,77.76784973,21.1
3014.8,4.5,217.16,2121.4,77.81985236,20.4
3014.9,4.5,217.16,2121.4,78.66886805,20.4
3014.9,4.7,217.16,2121.4,79.84296022,20.4
3015,4.7,217.16,2121.4,81.1726471,20.4
3015.1,4.1,217.16,2121.4,82.14347186,19.3
3015.2,4,217.34,2121.4,82.85573015,19.5
3015.3,4,217.34,2121.4,83.05097446,19.5
3015.4,3.9,217.34,2121.4,83.26984502,20.7
3015.5,3.9,217.34,2121.4,83.27988309,20.7
3015.5,4.1,217.67,2121.4,82.60522918,20.6
3015.6,4.1,217.67,2121.4,81.45591,20.6
3015.7,4.1,217.67,2121.4,80.07578897,20.6
3015.7,3.9,217.67,2121.4,78.03229496,20.9
3015.8,4.9,217.67,2121.4,76.62054719,21.5
3015.9,4.9,217.32,2121.4,76.0639796,21.5
3016,4.9,217.32,2121.4,76.67173028,21.5
3016,4.7,217.32,2121.4,77.51497628,22.1
3016.1,4.7,217.32,2121.4,78.97178302,22.1
3016.1,5,217.32,2121.4,78.71960291,22.7
3016.2,5,217.32,2121.4,78.10994437,22.7
3016.3,5,217.44,2121.4,77.12749878,22.3
3016.4,5,217.44,2121.4,76.01921606,22.3
3016.5,4.9,217.44,2121.4,74.85968749,21.3
3016.6,3.9,217.44,2121.4,73.81494518,21.4
3016.7,3.9,217.44,2121.4,72.97200938,21.4
3016.8,5.4,217.58,2121.4,72.21179656,22
3016.9,5.4,217.58,2121.4,71.53120905,22
3016.9,5.1,217.58,2121.4,71.34937046,21.7
3017,5.1,217.58,2121.4,71.4736247,21.7
3017.1,5.1,217.58,2121.4,72.0873805,21.7
3017.1,4.5,217.58,2121.4,72.83499224,21.5
3017.2,4.1,217.58,2121.4,73.63381639,22.1
3017.3,4.1,217.58,2121.4,74.2113693,22.1
3017.4,5.1,217.52,2121.4,74.68784713,22.3
3017.5,5.1,217.52,2121.4,75.15561442,22.3
3017.5,5,217.52,2121.4,75.63014846,21.6
3017.6,5,217.52,2121.4,76.26081108,21.6
3017.7,4.7,217.52,2121.4,76.99999264,21.3
3017.8,4.7,217.52,2121.4,77.83310033,21.3
3017.8,5,217.52,2121.4,78.99249705,21.2
3017.9,5,217.52,2121.4,80.03748185,21.2
3018,5,217.67,2121.4,80.75233448,21.2
3018,4.2,217.67,2121.4,81.1122323,21.1
3018.1,4.2,217.67,2121.4,81.3372431,21.1
3018.1,4.5,217.67,2121.4,81.66030481,20.7
3018.2,4.5,217.67,2121.4,82.05179417,20.7
3018.3,4.5,217.67,2121.4,82.51937594,20.7
3018.3,5.4,217.67,2121.4,82.83529914,20.2
3018.4,5.4,217.67,2121.4,83.10794719,20.2
3018.4,5.2,217.67,2121.4,83.12064715,20.4
3018.5,5.2,217.39,2121.4,82.2544401,20.4
3018.6,5.2,217.39,2121.4,81.39290704,20.4
3018.6,4.8,217.39,2121.4,80.73954007,20.1
3018.7,4.8,217.39,2121.4,79.74269596,20.1
3018.8,5.2,217.39,2121.4,78.8562865,19.4
3018.9,5.2,217.39,2121.4,78.16114799,19.4
3018.9,4.9,217.39,2121.4,77.48416502,18.5
3019,4.9,217.83,2121.4,77.00696951,18.5
3019.1,5.1,217.83,2121.4,76.85516448,19.1
3019.2,5.1,217.83,2121.4,76.76154771,19.1
3019.2,3.8,217.83,2121.4,76.78387137,19.8
3019.3,3.8,217.83,2121.4,77.01052206,19.8
3019.3,4,217.83,2121.4,77.1178692,19.7
3019.4,4,217.53,2121.4,77.30936975,19.7
3019.5,4,217.53,2121.4,77.85664535,19.7
3019.5,4.8,217.53,2121.4,78.00052662,20.2
3019.6,4.8,217.53,2121.4,78.286208,20.2
3019.7,4.8,217.53,2121.4,78.7220994,20.2
3019.7,4.3,217.53,2121.4,79.36275846,19.1
3019.8,4.3,217.53,2121.4,79.73482848,19.1
3019.8,4.9,217.53,2121.4,80.17184493,19
3019.9,4.9,217.39,2121.4,80.20986416,19
3020,4.9,217.39,2121.4,80.09660003,19
3020,4.8,217.39,2121.4,80.01664328,19.5
3020.1,4.8,217.39,2121.4,79.95059785,19.5
3020.1,0.9,217.39,2121.4,79.93652833,3.3
3020.2,0.9,217.39,2121.4,80.57561832,3.3
3020.3,0.9,217.39,2121.4,81.13893284,3.3
3020.3,3.3,217.39,2121.4,81.71800464,3.3
3020.4,5.5,217.39,2121.4,82.08474374,19.5
3020.5,5.5,217.53,2121.4,82.17654591,19.5
3020.6,6.5,217.53,2121.4,82.05346215,21
3020.7,6.5,217.53,2121.4,81.55954123,21
3020.7,6.5,217.53,2121.4,80.99082531,23.4
3020.8,6.5,217.53,2121.4,79.98307295,23.4
3020.9,7.1,217.53,2121.4,79.46871662,22.2
3021,7.1,217.53,2121.4,78.72779248,22.2
3021,6.7,217.57,2121.4,77.98905072,21.5
3021.1,6.7,217.57,2121.4,77.3107982,21.5
3021.2,6.3,217.57,2121.4,76.62884691,21.2
3021.3,6.8,217.57,2121.4,76.08771659,21
3021.4,6.8,217.57,2121.4,75.65688309,21
3021.5,7.1,217.3,2121.4,75.30684918,20.8
3021.6,7.1,217.3,2121.4,75.04568625,20.8
3021.6,7.3,217.3,2121.4,74.95657654,20.6
3021.7,7.3,217.3,2121.4,74.98634003,20.6
3021.8,7,217.3,2121.4,74.7140792,20
3021.9,7,217.3,2121.4,74.43857308,20
3021.9,6.1,217.85,2121.4,73.98782159,19.8
3022,6.1,217.85,2121.4,73.3810474,19.8
3022.1,6.1,217.85,2121.4,72.78762825,19.8
3022.1,7.2,217.85,2121.4,72.51038202,20.6
3022.2,7.3,217.72,2121.4,71.94667676,20.7
3022.3,7.3,217.72,2121.4,71.60122735,20.7
3022.4,6.2,217.72,2121.4,71.15036999,19.9
3022.5,6.2,217.72,2121.4,70.49578998,19.9
3022.5,6.8,217.72,2121.4,70.10265002,20.5
3022.6,6.8,217.72,2121.4,70.01392394,20.5
3022.7,6.8,217.54,2121.4,70.19641885,20.5
3022.7,6.1,217.54,2121.4,70.62983561,22.3
3022.8,6.1,217.54,2121.4,71.26720572,22.3
3022.9,6.9,217.54,2121.4,71.72170126,22.5
3023,6.9,217.54,2121.4,72.23675013,22.5
3023,6.2,217.54,2121.4,72.54098639,22.4
3023.1,6.2,217.24,2121.4,72.66864653,22.4
3023.2,6.2,217.24,2121.4,72.85285554,22.4
3023.2,6.2,217.24,2121.4,72.99745683,23
3023.3,6.2,217.24,2121.4,73.2854954,23
3023.4,7.2,217.24,2121.4,73.53175913,23
3023.5,6.8,217.78,2121.4,73.97398306,22.9
3023.6,6.8,217.78,2121.4,74.50501538,22.9
3023.6,6.2,217.78,2121.4,74.8694382,23.4
3023.7,6.2,217.78,2121.4,75.23211614,23.4
3023.8,6.5,217.78,2121.4,75.60496586,23.5
3023.9,6.5,217.78,2121.4,75.98242732,23.5
3023.9,6.9,217.78,2121.4,75.65775937,22.9
3024,6.9,217.78,2121.4,75.70700837,22.9
3024.1,6.9,217.78,2121.4,75.84183974,22.9
3024.1,7,217.78,2121.4,76.00507493,23.2
3024.2,7,217.75,2121.4,76.66574741,23.2
3024.2,6.1,217.75,2121.4,77.2484696,23.3
3024.3,6.1,217.75,2121.4,77.97071212,23.3
3024.4,6.6,217.75,2121.4,78.24535287,23.1
3024.5,6.6,217.47,2121.4,78.41423895,23.1
3024.5,6.9,217.47,2121.4,78.43726867,23.5
3024.6,6.9,217.47,2121.4,78.48426158,23.5
3024.7,6.9,217.47,2121.4,77.99421187,23.5
3024.7,6.8,217.47,2121.4,77.6296251,23
3024.8,7.2,217.47,2121.4,77.52005893,22.4
3024.9,7.2,217.47,2121.4,77.49885413,22.4
3025,7.2,217.47,2121.4,77.28201309,22.4
3025,6.2,217.86,2121.4,77.16548811,22.1
3025.1,6.2,217.86,2121.4,77.16811408,22.1
3025.1,6.8,217.86,2121.4,77.65984534,22.5
3025.2,6.8,217.86,2121.4,78.04047461,22.5
3025.3,6.8,217.86,2121.4,78.44337533,22.5
3025.3,7,217.86,2121.4,79.27815877,22.2
3025.4,7,217.86,2121.4,79.98032613,22.2
3025.4,6.3,217.36,2121.4,80.65916692,20.7
3025.5,6.3,217.36,2121.4,81.00206807,20.7
3025.6,6.3,217.36,2121.4,80.68460988,20.7
3025.6,7.2,217.36,2121.4,80.43661725,20.6
3025.7,7.2,217.61,2121.4,79.57706422,20.6
3025.8,6.8,217.61,2121.4,78.6125176,21.5
3025.9,6.8,217.61,2121.4,77.64424916,21.5
3026,6.9,217.61,2121.4,76.84071852,21.9
3026.1,6.8,217.61,2121.4,75.9650245,22.3
3026.2,6.8,217.61,2121.4,75.16673756,22.3
3026.2,7.1,217.21,2121.4,74.36367225,22.4
3026.3,7.1,217.21,2121.4,73.59136632,22.4
